Country Code,Country Name,Time,GDP,Export,Import,Private consumption,Government consumption,FDI inflows,CPI,Unemployment,Interest rate
AGO,Angola,2010,,,30894849521.013992,25973525131.472702,,,,16.618,
AGO,Angola,2011,,,29514097561.020607,25512453705.915672,,,,16.77,
AGO,Angola,2012,,,29221757076.208183,28854780595.85887,,,,16.562,
AGO,Angola,2013,,,30844807877.095673,32117429940.120705,,,,16.492,
AGO,Angola,2014,,,31053045885.317543,39864661840.387405,,,,16.406,
AGO,Angola,2015,,,29985009888.78196,47731428885.51364,,,,16.49,
AGO,Angola,2016,,,22256980816.980747,49393222725.85763,,,,16.575,
AGO,Angola,2017,,,20469784138.82412,50338772357.05388,,,,16.61,
AGO,Angola,2018,,,22188852777.20152,48962876895.51486,,,,16.594,
AGO,Angola,2019,,,14698145105.545166,43077019843.162834,,,,16.497,
AGO,Angola,2020,,,22488552778.724957,44097697086.015,,,,16.69,
AGO,Angola,2021,,,22010050999.917828,36947919290.958275,,,,15.799,
AGO,Angola,2022,,,21475026609.981674,39517914504.66019,,,,14.602,
AGO,Angola,2023,,,22449206348.25688,48319345285.97411,,,,14.537,
BGD,Bangladesh,2010,,,,,,1535332225.1046412,100.0,3.379,
BGD,Bangladesh,2011,,,,,,1503737556.6131814,111.39516515524,3.736,
BGD,Bangladesh,2012,,,,,,1935886302.5058053,118.321164250415,4.071,
BGD,Bangladesh,2013,,,,,,2996542473.4899426,127.231228786487,4.426,
BGD,Bangladesh,2014,,,,,,2689866907.810766,136.126776861358,4.416,
BGD,Bangladesh,2015,,,,,,2831152765.1551495,144.558850888013,4.396,
BGD,Bangladesh,2016,,,,,,1838463317.909548,152.529140322278,4.35,
BGD,Bangladesh,2017,,,,,,1373232974.9436386,161.226458913586,4.372,
BGD,Bangladesh,2018,,,,,,1801824442.9146643,170.164243384102,4.407,
BGD,Bangladesh,2019,,,,,,1401343482.690513,179.679821747048,4.441,
BGD,Bangladesh,2020,,,,,,1088385436.3375075,189.905534708779,5.436,
BGD,Bangladesh,2021,,,,,,1181764130.403702,200.437039174984,5.327,
BGD,Bangladesh,2022,,,,,,1085928375.2200356,215.864586624407,4.593,
BGD,Bangladesh,2023,,,,,,1023724954.9569472,237.199569600947,4.454,
BEN,Benin,2010,9094481753.908468,2098283201.7113128,2579086972.2553062,7136148750.831962,1019661425.2832924,51033206.72015278,100.0,1.04,
BEN,Benin,2011,9364019722.361673,1952365478.7959855,2469046411.45793,7306896008.021348,1032246643.7783781,141250666.34140706,102.704239077473,2.647,
BEN,Benin,2012,9814543622.52956,2345355664.1741247,2634223499.6599636,7511919828.719731,1092191930.1485233,248019187.7282151,109.6313139516,2.406,
BEN,Benin,2013,10520350022.206518,2900519974.6926975,3327547419.9763465,7801361055.892015,1161681691.628736,302842737.7503469,110.101510475881,2.099,
BEN,Benin,2014,11189200116.596292,3516859711.6526875,3786138184.0851,8164625813.431589,1139082623.9997401,341741661.3424453,109.497320123437,1.872,
BEN,Benin,2015,11388160997.108948,2815204783.124884,3648295538.4003253,8560727091.954389,1299546342.9118617,149755663.330268,109.736884846516,1.82,
BEN,Benin,2016,11768488383.673307,3248901647.2642727,3692968162.058667,8616945310.9739,1209896961.4815784,131204677.47167143,108.86633100536,1.784,
BEN,Benin,2017,12435945493.108944,3383272938.1510863,4261923150.669451,9031729883.178135,1303160774.1008778,196699965.54222107,108.913431866169,1.659,
BEN,Benin,2018,13268812303.052362,3618966467.9246063,4580521901.305402,9347840429.257994,1381350420.5739079,180553470.41754115,109.914532239727,1.41,
BEN,Benin,2019,14179807375.101582,4201551680.272171,4828338575.78396,9705853271.998585,1466484646.0495172,214995346.77299306,110.720040198148,1.214,
BEN,Benin,2020,14725558723.73186,2926332302.6801977,3675611805.9789314,10021491781.081148,1678619767.0062988,163724475.0602554,114.066798322144,1.502,
BEN,Benin,2021,15779238957.776102,3300828413.541951,4281862908.0356493,10617954925.94508,1589910521.1684473,308612658.8100221,116.04419147224,1.779,
BEN,Benin,2022,16765953415.373268,3630367026.06814,4909123221.734861,10234519302.169846,1686292643.8957386,362251713.5550368,117.611691618775,1.685,
BEN,Benin,2023,17831064526.92393,3779018456.308935,5377316094.747609,10518240910.50618,1694699557.4429202,44365419.35509589,120.823695911462,1.657,
BOL,Bolivia,2010,25266542216.396587,10406645993.880512,8672530931.188698,15740671006.202656,,,100.0,2.608,1.0410415284892134
BOL,Bolivia,2011,26581436430.509216,11720207699.272772,10204266178.08392,16136084951.189758,,,109.884464198239,2.255,-3.2171781489289133
BOL,Bolivia,2012,27943010857.84632,13179655444.13781,10557586112.78047,16627139018.383692,,,114.846410265601,2.066,3.767191392033701
BOL,Bolivia,2013,29842021069.103134,13158087029.768654,11082857508.97802,17960929873.733902,,,121.434460016488,2.437,4.7700291412570195
BOL,Bolivia,2014,31471565392.05306,13625012504.790756,13209050800.440153,19807400706.07908,,,128.437100493447,2.021,7.4911986320827095
BOL,Bolivia,2015,33000198248.12923,10186598887.135603,12231374700.285442,22578642598.80188,,,133.651146397123,3.111,13.30880294584053
BOL,Bolivia,2016,34407300577.66223,8425661667.75256,10980411803.806734,23709867620.68399,,,138.493613869075,3.498,9.434724904561675
BOL,Bolivia,2017,35850757819.52358,8928324479.967144,11400723244.069958,24254628594.00828,,,142.402953510878,3.655,1.9314209244839524
BOL,Bolivia,2018,37364958855.72832,9710702583.417368,11628412204.346304,25038399891.312347,,,145.638433874571,3.519,4.833259360400097
BOL,Bolivia,2019,38193230057.44508,9535803923.916698,12004149182.808243,26141233810.39141,,,148.317518475358,3.682,9.15598643187716
BOL,Bolivia,2020,34855949753.417114,7066203705.308751,8794390640.449345,24204431295.20494,,,149.712803892505,7.903,9.625096812638892
BOL,Bolivia,2021,36986126769.118286,10291517712.055523,11538210841.691545,24870572394.157482,,,150.816761737338,5.089,3.9064545161961117
BOL,Bolivia,2022,38319728286.38797,12496659211.780441,13467217100.277542,25607544325.25152,,,153.450518176398,3.552,2.5118075689775705
BOL,Bolivia,2023,39500728992.57042,10085420856.016829,12215995110.825245,27054221546.639233,,,157.40476617273,3.024,9.19561261731636
CPV,Cabo Verde,2010,1628564468.2422805,493191575.75159615,900020082.1525084,980957996.589232,322284409.91703653,103707333.4914569,100.0,10.67,10.31796102823803
CPV,Cabo Verde,2011,1692481034.5440664,556390633.1242652,976260110.5823437,1015657285.4135826,336569962.8510544,84545897.01996659,104.47388342165,10.948,6.874906425794471
CPV,Cabo Verde,2012,1710821579.6128569,640932842.27939,909925492.0294902,1060779309.3988998,316759490.47815204,114476170.13918564,107.127934238569,11.142,9.1606779539489
